"Source URL","GSC Status","Current Live Status","Current Destination","Classification","Intended Action","Target","Priority","Reason"
"http://toptenuae.com/","Page with redirect [2026-08-02]","HEAD 301; GET 301→200 (1 hop)","https://toptenuae.com/","A — intentional redirect and safe","Keep the one-hop redirect; remove any internal references to the legacy URL.","/","P1","One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected."
"http://www.toptenuae.com/","Page with redirect [2026-08-02]","HEAD 301; GET 301→301→200 (2 hops)","https://toptenuae.com/","C — redirect chain","Collapse normalization and exact legacy mapping into one middleware 301.","/","P0","Current production path takes 2 redirects before a 200."
"https://toptenuae.com/$","Not found (404) [2026-03-24]","404","https://toptenuae.com/$","G — obsolete/deleted or unverified replacement","Keep the terminal 404/410; do not redirect without a real successor.","","P3","No validated current page with the same content/search intent was found."
"https://toptenuae.com/&","Not found (404) [2026-03-24]","404","https://toptenuae.com/&","G — obsolete/deleted or unverified replacement","Keep the terminal 404/410; do not redirect without a real successor.","","P3","No validated current page with the same content/search intent was found."
"https://toptenuae.com/_next/static/chunks/234604b00c78539e.js?dpl=dpl_BnZXRxkyCxm3bDv2kLY8hgana4aK","Not found (404) [2026-05-08]","404","https://toptenuae.com/_next/static/chunks/234604b00c78539e.js?dpl=dpl_BnZXRxkyCxm3bDv2kLY8hgana4aK","G — obsolete/deleted or unverified replacement","Keep the terminal 404/410; do not redirect without a real successor.","","P3","No validated current page with the same content/search intent was found."
"https://toptenuae.com/_next/static/chunks/5442adba65828a23.js?dpl=dpl_BnZXRxkyCxm3bDv2kLY8hgana4aK","Not found (404) [2026-04-20]","404","https://toptenuae.com/_next/static/chunks/5442adba65828a23.js?dpl=dpl_BnZXRxkyCxm3bDv2kLY8hgana4aK","G — obsolete/deleted or unverified replacement","Keep the terminal 404/410; do not redirect without a real successor.","","P3","No validated current page with the same content/search intent was found."
"https://toptenuae.com/_next/static/chunks/5b38630d18df7a4c.js?dpl=dpl_4Ufx7FrpqVd6ThVUuFCKEhT46drE","Not found (404) [2026-03-31]","404","https://toptenuae.com/_next/static/chunks/5b38630d18df7a4c.js?dpl=dpl_4Ufx7FrpqVd6ThVUuFCKEhT46drE","G — obsolete/deleted or unverified replacement","Keep the terminal 404/410; do not redirect without a real successor.","","P3","No validated current page with the same content/search intent was found."
"https://toptenuae.com/_next/static/media/83afe278b6a6bb3c-s.p.3a6ba036.woff2","Not found (404) [2026-04-04]","404","https://toptenuae.com/_next/static/media/83afe278b6a6bb3c-s.p.3a6ba036.woff2","G — obsolete/deleted or unverified replacement","Keep the terminal 404/410; do not redirect without a real successor.","","P3","No validated current page with the same content/search intent was found."
"https://toptenuae.com/about-us/","Page with redirect [2026-09-04]","HEAD 308; GET 301→200 (1 hop)","https://toptenuae.com/about-us","A — intentional redirect and safe","Use middleware as the sole slash normalizer so HEAD and GET consistently emit 301.","/about-us","P1","One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected."
"https://toptenuae.com/affiliate-disclosure/","Crawled - currently not indexed [2026-03-21]","HEAD 308; GET 301→200 (1 hop)","https://toptenuae.com/affiliate-disclosure","A — intentional redirect and safe","Use middleware as the sole slash normalizer so HEAD and GET consistently emit 301.","/affiliate-disclosure","P1","One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected."
"https://toptenuae.com/air-fryers","Discovered - currently not indexed [1970-01-01]","200","https://toptenuae.com/air-fryers","Legitimate indexable content","Keep 200/indexable; monitor and request crawl after internal-link reinforcement.","/air-fryers","P2","200, self-canonical, in sitemap; 943 rendered words; 11 incoming anchors from the audited sitemap corpus; GSC crawl date is 1970-01-01."
"https://toptenuae.com/air-fryers/what-air-fryer-size-should-you-buy","Discovered - currently not indexed [1970-01-01]","200","https://toptenuae.com/air-fryers/what-air-fryer-size-should-you-buy","Legitimate indexable content","Keep 200/indexable; monitor and request crawl after internal-link reinforcement.","/air-fryers/what-air-fryer-size-should-you-buy","P2","200, self-canonical, in sitemap; 4266 rendered words; 9 incoming anchors from the audited sitemap corpus; GSC crawl date is 1970-01-01."
"https://toptenuae.com/author/ameeritoa_rbbw4qba/","Blocked by robots.txt [2026-05-01]","HEAD 308; GET 301→410 (1 hop)","https://toptenuae.com/author/ameeritoa_rbbw4qba","G — obsolete/deleted or unverified replacement","Return the intended 404/410 directly without a slash-normalization hop.","","P3","No validated current page with the same content/search intent was found."
"https://toptenuae.com/author/apfunbox/","Not found (404) [2026-06-27]","HEAD 308; GET 301→410 (1 hop)","https://toptenuae.com/author/apfunbox","G — obsolete/deleted or unverified replacement","Return the intended 404/410 directly without a slash-normalization hop.","","P3","No validated current page with the same content/search intent was found."
"https://toptenuae.com/baby-monitors","Discovered - currently not indexed [1970-01-01]","200","https://toptenuae.com/baby-monitors","Legitimate indexable content","Keep 200/indexable; monitor and request crawl after internal-link reinforcement.","/baby-monitors","P2","200, self-canonical, in sitemap; 1045 rendered words; 13 incoming anchors from the audited sitemap corpus; GSC crawl date is 1970-01-01."
"https://toptenuae.com/baby-monitors/wi-fi-vs-non-wi-fi-baby-monitor","Discovered - currently not indexed [1970-01-01]","200","https://toptenuae.com/baby-monitors/wi-fi-vs-non-wi-fi-baby-monitor","Legitimate indexable content","Keep 200/indexable; monitor and request crawl after internal-link reinforcement.","/baby-monitors/wi-fi-vs-non-wi-fi-baby-monitor","P2","200, self-canonical, in sitemap; 2285 rendered words; 10 incoming anchors from the audited sitemap corpus; GSC crawl date is 1970-01-01."
"https://toptenuae.com/baby-skincare","Discovered - currently not indexed [1970-01-01]","200","https://toptenuae.com/baby-skincare","Legitimate indexable content","Add contextual internal links from relevant hubs/lists; enrich if commercially important; then request crawl.","/baby-skincare","P2","200, self-canonical, in sitemap; 343 rendered words; 0 incoming anchors from the audited sitemap corpus; GSC crawl date is 1970-01-01."
"https://toptenuae.com/beard-trimmers","Discovered - currently not indexed [1970-01-01]","200","https://toptenuae.com/beard-trimmers","Legitimate indexable content","Keep 200/indexable; monitor and request crawl after internal-link reinforcement.","/beard-trimmers","P2","200, self-canonical, in sitemap; 692 rendered words; 3 incoming anchors from the audited sitemap corpus; GSC crawl date is 1970-01-01."
"https://toptenuae.com/beauty-grooming","Discovered - currently not indexed [1970-01-01]","200","https://toptenuae.com/beauty-grooming","Legitimate indexable content","Strengthen unique page content and contextual internal links; then request crawl.","/beauty-grooming","P2","200, self-canonical, in sitemap; 435 rendered words; 1 incoming anchors from the audited sitemap corpus; GSC crawl date is 1970-01-01."
"https://toptenuae.com/best-baby-skincare-uae","Page with redirect [2026-08-21]","HEAD 301; GET 301→200 (1 hop)","https://toptenuae.com/top-ten/best-baby-skincare-uae","A — intentional redirect and safe","Keep the one-hop redirect; remove any internal references to the legacy URL.","/top-ten/best-baby-skincare-uae","P1","One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected."
"https://toptenuae.com/best-baby-skincare-uae/","Page with redirect [2026-08-21]","HEAD 308; GET 301→301→200 (2 hops)","https://toptenuae.com/top-ten/best-baby-skincare-uae","C — redirect chain","Collapse normalization and exact legacy mapping into one middleware 301.","/top-ten/best-baby-skincare-uae","P0","Current production path takes 2 redirects before a 200."
"https://toptenuae.com/best-baby-toys","Soft 404 [2026-02-25]","HEAD 410; GET 410 (0 hops)","https://toptenuae.com/best-baby-toys","G — obsolete/deleted or unverified replacement","Keep the terminal 404/410; do not redirect without a real successor.","","P3","No validated current page with the same content/search intent was found."
"https://toptenuae.com/best-baby-toys/","Soft 404 [2026-02-25]","HEAD 308; GET 301→410 (1 hop)","https://toptenuae.com/best-baby-toys","G — obsolete/deleted or unverified replacement","Return the intended 404/410 directly without a slash-normalization hop.","","P3","No validated current page with the same content/search intent was found."
"https://toptenuae.com/best-beard-trimmers-uae/","Page with redirect [2026-09-05]","HEAD 301; GET 301→200 (1 hop)","https://toptenuae.com/top-ten/best-beard-trimmers-uae","A — intentional redirect and safe","Keep the one-hop redirect; remove any internal references to the legacy URL.","/top-ten/best-beard-trimmers-uae","P1","One redirect reaches a 200 self-canonical destination; GSC “Page with redirect” is expected."
"https://toptenuae.com/best-beauty-products-uae/","Not found (404) [2026-04-08]","HEAD 308; GET 301→410 (1 hop)","https://toptenuae.com/best-beauty-products-uae","G — obsolete/deleted or unverified replacement","Keep terminal status until historical-content equivalence is proven; do not redirect speculatively.","","P3","A broad topical page exists, but evidence is insufficient to prove it is a direct replacement."
"https://toptenuae.com/best-books-for-babys-first-library","Not found (404) [2026-04-14]","410","https://toptenuae.com/best-books-for-babys-first-library","G — obsolete/deleted or unverified replacement","Keep the terminal 404/410; do not redirect without a real successor.","","P3","No validated current page with the same content/search intent was found."
"https://toptenuae.com/best-budget-buys-uae-amazon-deals-march-2025/amp","Excluded by noindex [2026-02-28]","HEAD 302; GET 302→404 (1 hop)","https://toptenuae.com/404","G — obsolete/deleted or unverified replacement","Return a direct 404/410 on the requested URL; remove the redirect to /404.","","P3","No validated current page with the same content/search intent was found."
"https://toptenuae.com/best-budget-buys-uae-amazon-deals-march-2025/amp/","Excluded by noindex [2026-02-27]","HEAD 308; GET 301→302→404 (2 hops)","https://toptenuae.com/404","G — obsolete/deleted or unverified replacement","Return a direct 404/410 on the requested URL; remove the redirect to /404.","","P3","No validated current page with the same content/search intent was found."
"https://toptenuae.com/best-diaper-bags-in-uae","Not found (404) [2026-03-12]","410","https://toptenuae.com/best-diaper-bags-in-uae","G — obsolete/deleted or unverified replacement","Keep the terminal 404/410; do not redirect without a real successor.","","P3","No validated current page with the same content/search intent was found."
